26,58,46,4,3,29,8
29,181,111,32,25,224,86
34,539,272,133,55,496,151
25,45,36,2,4,40,17
30,342,185,79,30,344,99
27,196,114,41,16,237,65
24,8,4,3,0,4,2
19,7,6,0,1,6,2
23,31,7,19,7,56,20
17,4,2,2,0,1,1
28,115,49,37,22,187,64
29,1,1,0,0,1,0
28,177,115,23,57,424,182
28,196,121,35,86,445,190
28,123,90,12,78,449,201
25,11,7,3,0,8,2
20,0,0,0,0,0,0
25,91,57,14,19,89,39
20,6,5,1,0,2,0
23,67,27,19,16,127,50
27,110,87,14,0,0,0
35,145,44,66,0,0,0
25,0,0,0,0,0,0
25,147,52,67,12,0,0
30,293,183,50,7,0,0
26,163,90,39,1,0,0
23,41,34,6,0,28,6
26,59,50,6,4,0,0
26,37,29,3,0,0,0
26,17,12,4,0,0,0
32,136,94,22,8,0,0
19,13,11,2,0,0,0
23,6,0,6,0,0,0
29,102,75,17,15,127,34
24,36,25,8,3,25,9
29,156,109,22,37,367,133
26,105,81,15,19,139,51
35,225,156,36,18,217,63
20,42,38,3,7,50,22
18,1,1,0,0,1,1
19,0,0,0,0,0,0
20,1,1,0,0,0,0
25,260,161,55,86,545,222
23,103,80,12,42,227,122
32,263,177,44,180,996,411
29,199,98,58,57,426,185
17,0,0,0,0,0,0
29,314,174,66,0,0,0
37,31,10,12,0,0,0
33,7,4,1,0,0,0
23,36,14,11,0,0,0
26,83,41,19,2,0,0
26,54,35,7,1,0,0
28,200,104,44,2,0,0
27,140,50,58,8,0,0
30,219,122,56,12,0,0
30,76,45,10,1,0,0
21,20,9,7,0,0,0
25,157,68,39,1,0,0
22,49,17,23,0,0,0
22,77,32,26,0,0,0
22,10,4,3,0,0,0
20,17,8,3,1,0,0
18,0,0,0,0,0,0
27,112,63,18,25,301,110
32,262,136,61,51,362,133
27,133,68,31,18,178,69
24,45,21,13,2,45,16
27,46,22,14,1,57,12
26,15,9,1,8,47,19
22,34,15,9,3,43,20
32,208,127,36,6,134,35
23,59,33,13,6,48,17
23,1,0,1,1,1,1
24,146,73,37,51,268,122
22,143,76,28,44,301,130
31,67,23,27,16,153,62
18,35,14,10,10,49,24
28,0,0,0,0,0,0
31,88,29,38,0,0,0
29,21,5,8,0,0,0
19,0,0,0,0,0,0
30,179,45,85,14,0,0
28,128,42,56,2,0,0
28,46,17,21,6,0,0
26,109,34,48,6,0,0
26,17,5,8,0,0,0
31,170,55,72,4,0,0
26,92,25,45,1,0,0
27,103,29,48,2,0,0
22,30,4,24,1,0,0
25,34,6,22,1,24,8
28,215,77,86,20,374,114
31,128,38,58,11,206,51
25,82,31,31,3,55,17
26,48,17,18,4,76,25
28,80,25,32,3,72,28
22,33,12,15,2,33,9
20,9,2,4,2,4,2
28,124,41,55,10,99,25
26,121,34,59,16,132,61
29,5,3,2,1,1,1
23,0,0,0,0,0,0
31,232,81,92,53,534,172
24,40,12,17,2,51,15
23,28,11,9,3,47,21
29,119,28,64,25,160,59
28,128,39,60,42,226,91
29,0,0,0,0,0,0
23,0,0,0,0,0,0
30,2,0,1,0,0,0
22,39,9,23,0,0,0
27,40,14,14,2,0,0
30,47,16,17,2,0,0
26,35,13,11,0,0,0
32,61,20,24,1,0,0
